purchase_id,date,ingredient_category,supplier,qty,unit,unit_cost,total_cost
3000,2022-01-04,fresh_produce,Island Fresh Farms,2,case,68.0,135.45
3001,2022-01-04,meat_poultry,Tri-State Meats Co.,31,lb,8.5,266.27
3002,2022-01-04,seafood,North Fork Seafood,20,lb,14.0,275.73
3003,2022-01-04,pasta_dry,DeCecco Imports,1,case,42.0,42.57
3004,2022-01-04,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,187.26
3005,2022-01-04,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,83.81
3006,2022-01-04,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,496.73
3007,2022-01-04,beer_spirits,Republic National Dist.,1,case,140.0,147.67
3008,2022-01-04,bread_pastry,Fresca Bakehouse LI,61,unit,2.2,137.97
3009,2022-01-04,paper_supplies,Restaurant Depot,1,case,55.0,56.59
3010,2022-01-07,fresh_produce,Island Fresh Farms,2,case,68.0,130.6
3011,2022-01-07,meat_poultry,Tri-State Meats Co.,39,lb,8.5,335.32
3012,2022-01-07,seafood,North Fork Seafood,20,lb,14.0,277.9
3013,2022-01-07,bread_pastry,Fresca Bakehouse LI,57,unit,2.2,132.68
3014,2022-01-11,fresh_produce,Island Fresh Farms,3,case,68.0,207.63
3015,2022-01-11,meat_poultry,Tri-State Meats Co.,38,lb,8.5,316.45
3016,2022-01-11,seafood,North Fork Seafood,20,lb,14.0,291.4
3017,2022-01-11,pasta_dry,DeCecco Imports,2,case,42.0,85.52
3018,2022-01-11,dairy_cheese,Murray's Cheese (wholesale),1,case,95.0,98.02
3019,2022-01-11,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,83.92
3020,2022-01-11,wine_inventory,Sherry-Lehmann Wine,2,case,180.0,348.43
3021,2022-01-11,beer_spirits,Republic National Dist.,2,case,140.0,284.99
3022,2022-01-11,bread_pastry,Fresca Bakehouse LI,64,unit,2.2,136.92
3023,2022-01-11,paper_supplies,Restaurant Depot,1,case,55.0,57.78
3024,2022-01-14,fresh_produce,Island Fresh Farms,2,case,68.0,133.16
3025,2022-01-14,meat_poultry,Tri-State Meats Co.,37,lb,8.5,301.86
3026,2022-01-14,seafood,North Fork Seafood,20,lb,14.0,288.14
3027,2022-01-14,bread_pastry,Fresca Bakehouse LI,61,unit,2.2,134.96
3028,2022-01-18,fresh_produce,Island Fresh Farms,3,case,68.0,198.06
3029,2022-01-18,meat_poultry,Tri-State Meats Co.,39,lb,8.5,348.72
3030,2022-01-18,seafood,North Fork Seafood,21,lb,14.0,275.41
3031,2022-01-18,pasta_dry,DeCecco Imports,2,case,42.0,87.32
3032,2022-01-18,dairy_cheese,Murray's Cheese (wholesale),2,case,95.0,183.76
3033,2022-01-18,olive_oil_pantry,Liuzzi Italian Imports,1,case,88.0,92.36
3034,2022-01-18,wine_inventory,Sherry-Lehmann Wine,3,case,180.0,541.28
3035,2022-01-18,beer_spirits,Republic National Dist.,2,case,140.0,263.72
3036,2022-01-18,bread_pastry,Fresca Bakehouse LI,63,unit,2.2,137.35
