reservation_id,date,service,table_num,party_size,server_id,res_type,hour
9000,2022-01-01,Dinner,4,1,E006,Walk-in,18
9001,2022-01-01,Dinner,14,2,E005,Walk-in,18
9002,2022-01-01,Dinner,2,4,E005,Walk-in,18
9003,2022-01-01,Dinner,14,5,E006,Reservation,18
9004,2022-01-01,Dinner,8,2,E005,Walk-in,17
9005,2022-01-01,Dinner,1,3,E006,Reservation,17
9006,2022-01-01,Dinner,5,2,E006,Reservation,17
9007,2022-01-01,Dinner,16,2,E005,Walk-in,21
9008,2022-01-01,Dinner,9,2,E006,Reservation,19
9009,2022-01-01,Dinner,1,4,E005,Reservation,18
9010,2022-01-01,Dinner,2,5,E006,Reservation,17
9011,2022-01-01,Dinner,4,2,E007,Walk-in,17
9012,2022-01-01,Dinner,13,3,E001,Reservation,19
9013,2022-01-01,Dinner,3,3,E011,Walk-in,18
9014,2022-01-01,Dinner,9,4,E006,Reservation,19
9015,2022-01-01,Dinner,5,6,E009,Reservation,21
9016,2022-01-01,Dinner,1,4,E005,Walk-in,20
9017,2022-01-01,Dinner,12,3,E009,Reservation,21
9018,2022-01-01,Dinner,4,5,E009,Reservation,20
9019,2022-01-01,Dinner,8,5,E011,Reservation,18
9020,2022-01-02,Dinner,10,4,E011,Reservation,17
9021,2022-01-02,Dinner,9,2,E009,Reservation,18
9022,2022-01-02,Dinner,12,2,E009,Walk-in,20
9023,2022-01-02,Dinner,15,1,E006,Reservation,17
9024,2022-01-02,Dinner,11,3,E009,Reservation,21
9025,2022-01-02,Dinner,15,5,E006,Reservation,17
9026,2022-01-02,Dinner,9,4,E009,Walk-in,19
9027,2022-01-02,Dinner,8,5,E009,Walk-in,19
9028,2022-01-02,Dinner,5,6,E006,Walk-in,17
9029,2022-01-02,Dinner,16,2,E005,Reservation,20
9030,2022-01-02,Dinner,7,2,E005,Walk-in,19
9031,2022-01-02,Dinner,13,2,E005,Walk-in,17
9032,2022-01-02,Dinner,16,3,E006,Walk-in,20
9033,2022-01-02,Dinner,11,3,E009,Reservation,19
9034,2022-01-02,Dinner,5,4,E006,Reservation,20
9035,2022-01-02,Dinner,3,3,E006,Walk-in,20
9036,2022-01-02,Dinner,3,2,E007,Walk-in,18
9037,2022-01-02,Dinner,11,5,E011,Reservation,20
9038,2022-01-02,Dinner,15,5,E009,Reservation,17
9039,2022-01-04,Lunch,2,3,E007,Reservation,11
9040,2022-01-04,Lunch,10,2,E007,Reservation,13
9041,2022-01-04,Lunch,11,2,E007,Reservation,13
9042,2022-01-04,Lunch,12,2,E011,Walk-in,12
9043,2022-01-04,Lunch,16,2,E005,Reservation,14
9044,2022-01-04,Lunch,5,3,E007,Walk-in,14
9045,2022-01-04,Lunch,9,2,E011,Reservation,11
9046,2022-01-04,Lunch,8,4,E007,Reservation,14
9047,2022-01-04,Lunch,2,2,E009,Reservation,13
