YEAR,SERVER_ID,CHECKS,REVENUE,ALCOHOL_REV,AVG_CHECK,ALCOHOL_PCT
2022,E001,384,64403.24,15276.55,167.72,23.7
2022,E005,1425,244826.01,59132.3,171.81,24.2
2022,E006,1483,252304.01,61519.65,170.13,24.4
2022,E007,1533,254904.38,61957.85,166.28,24.3
2022,E009,1515,256058.06,62032.05,169.02,24.2
2022,E011,1428,242286.41,58027.05,169.67,23.9
2023,E001,466,77980.07,18891.95,167.34,24.2
2023,E005,1702,291260.35,71352.65,171.13,24.5
2023,E006,1679,283196.17,69036.55,168.67,24.4
2023,E007,1615,268312.91,64881.6,166.14,24.2
2023,E009,1788,301239.37,73842.35,168.48,24.5
2023,E011,1693,278370.24,66646.6,164.42,23.9
2024,E001,452,74947.21,18564.15,165.81,24.8
2024,E005,1912,318493.43,78303.25,166.58,24.6
2024,E006,1783,303654.24,72967.75,170.31,24
2024,E007,1828,314036.32,74933.85,171.79,23.9
2024,E009,1857,313002.17,75824.45,168.55,24.2
2024,E011,1872,315995.94,75728.55,168.8,24
2025,E001,460,74556.59,18450.25,162.08,24.7
2025,E005,1779,295787.46,72477.25,166.27,24.5
2025,E006,1792,300744.14,73026.8,167.83,24.3
2025,E007,1792,302195.55,73151.5,168.64,24.2
2025,E009,1808,307180.92,75064,169.9,24.4
2025,E011,1766,299205,71647.25,169.43,23.9
2026,E001,127,19046.74,4392.8,149.97,23.1
2026,E005,530,89212.6,21453.5,168.33,24
2026,E006,474,80106.7,20072.4,169,25.1
2026,E007,557,94942.4,23228.1,170.45,24.5
2026,E009,501,88767.8,21959.9,177.18,24.7
2026,E011,527,89151.49,21066.15,169.17,23.6
